Designator,Order,Quantity,Notes,DrawnBy,CheckedBy,NormInspection,ApprovedBy,InvNumber,DecimalNumber,Title
"R14","Резистор Р1-12-0,125-10 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R15","Резистор Р1-12-0,125-10 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R16","Резистор Р1-12-0,5-2,4 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R17","Резистор Р1-12-0,5-2,4 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R18","Резистор Р1-12-0,125-10 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R19","Резистор Р1-12-0,125-10 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R20","Резистор Р1-12-0,5-2,4 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R21","Резистор Р1-12-0,5-2,4 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R22","Резистор Р1-12-0,125-620 Ом ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R23","Резистор Р1-12-0,125-620 Ом ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R24","Резистор Р1-12-0,125-1,1 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R25","Резистор Р1-12-0,125-1,1 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R26","Резистор Р1-12-0,125-1 кОм ±5% - Т-""А""-АЛЯР.434110.005 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
"R27","Резистор Р1-12М-0805-0-А-М-АБШК.434110.023 ТУ","1","","Сагритдинов","Царев","Габдуллина","Бубнов",".","ГБНК.468332.213","Устройство управления вводом"
